id,title,plot,genres,keywords,year,rating,popularity,poster_path
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action, Crime, Thriller",affectation,2025,6.454,556.2084,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
1033462,Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,"Action, Adventure, Science Fiction",,2024,5.5,494.727,/flykCMw22y6yv8vKnBjmsW3pneo.jpg
1363123,The Family Plan 2,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.","Action, Comedy",europe vacation,2025,6.774,429.3338,/semFxuYx6HcrkZzslgAkBqfJvZk.jpg
1309012,Altered,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.","Science Fiction, Action",,2025,6.87,335.8632,/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.","Drama, Horror, Fantasy","monster, based on novel or book, supernatural, surgeon, mad scientist, reanimation, father son relationship, mother son relationship, frankenstein, admiring",2025,7.8,316.9688,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg
1116465,A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,"Action, Adventure, Fantasy","burlesque, inspirational, admiring, amused, awestruck, hopeful",2024,6.692,247.0924,/qbImUt1d3itXcB81BCItPZlfbyr.jpg
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Action, Thriller, Crime","rebellion, based on novel or book, resistance, usa–mexico border, riot, interracial relationship, on the run, xenophobia, aftercreditsstinger, missing daughter, white supremacy, anti-fascism, father daughter relationship, revolutionaries, african american, anti-racism, immigration detention center",2025,7.49,227.3989,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg
967941,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.","Fantasy, Adventure, Romance","witch, based on novel or book, musical, female friendship, based on play or musical, sequel, con artist, prequel, corrupt politician, governess, fantasy world, witch hunt, wizard, political corruption, illegitimate child, power struggle, woman in wheelchair, farm girl, munchkins, admiring, friends to rivals, interquel, forgiveness and reconciliation, oz",2025,6.722,217.6535,/si9tolnefLSUKaqQEGz1bWArOaL.jpg
1481331,Nahual,"Katia Montero's exotic getaway spirals into terror when she becomes possessed by a bloodthirsty animal spirit. Erotic encounters, violence, and ancient legends converge to deliver a chilling new twist on a South American myth.",,,2025,3.25,202.0019,/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg
1426968,The Gentleman,"Aging ex-soldier Theo meets weekly with prostitute Olga to reminisce. After Olga's murder, Theo seeks bloody revenge, attracting attention of alcoholic cop Iborra and hitman Herodes.","Action, Crime, Thriller",,2025,6.4,198.7604,/lsd1nequN4IprfubkR5RonzAC6I.jpg
